time_us,pwm,pos
100004,0,0.0
200004,0,0.0
300008,0,0.0
400016,0,0.0
500024,0,0.0
600032,0,0.0
700032,-137,0.0
800032,-137,-48.0
900040,-137,-108.0
1000048,-137,-167.0
1100048,-137,-227.0
1200048,-137,-287.0
1300056,-137,-346.0
1400056,101,-406.0
1500056,101,-379.0
1600060,101,-334.0
1700068,101,-289.0
1800068,101,-244.0
1900068,101,-200.0
2000068,101,-155.0
2100068,185,-110.0
2200068,185,-35.0
2300076,185,49.0
2400084,185,133.0
2500092,185,216.0
2600096,185,300.0
2700096,185,384.0
2800184,-165,467.0
2900184,-165,424.0
3000188,-165,351.0
3100192,-165,278.0
3200200,-165,204.0
3300200,-165,131.0
3400204,-165,57.0
3500208,69,-17.0
3600208,69,-4.0
3700208,69,26.0
3800208,69,57.0
3900208,69,87.0
4000208,69,118.0
4100212,69,149.0
4200212,-221,179.0
4300212,-221,108.0
4400216,-221,9.0
4500220,-221,-89.0
4600224,-221,-188.0
4700224,-221,-287.0
4800228,-221,-386.0
4900236,-159,-485.0
5000240,-159,-562.0
5100240,-159,-633.0
5200244,-159,-705.0
5300252,-159,-776.0
5400256,-159,-848.0
5500268,-159,-920.0
5600268,79,-991.0
5700276,79,-974.0
5800280,79,-939.0
5900280,79,-904.0
6000280,79,-868.0
6100288,79,-833.0
6200292,79,-798.0
6300292,-177,-762.0
6400300,-177,-819.0
6500304,-177,-898.0
6600304,-177,-977.0
6700304,-177,-1056.0
6800304,-177,-1135.0
6900308,-177,-1215.0
7000312,-211,-1294.0
7100312,-211,-1385.0
7200312,-211,-1479.0
7300316,-211,-1573.0
7400324,-211,-1668.0
7500324,-211,-1762.0
7600324,-211,-1857.0
7700324,-231,-1951.0
7800328,-231,-2052.0
7900328,-231,-2156.0
8000332,-231,-2259.0
8100332,-231,-2362.0
8200340,-231,-2466.0
8300340,-231,-2569.0
8400352,194,-2673.0
8500360,194,-2622.0
8600360,194,-2535.0
8700360,194,-2446.0
8800360,194,-2358.0
8900360,194,-2270.0
9000364,194,-2182.0
9100368,71,-2094.0
9200368,71,-2051.0
9300372,71,-2019.0
9400372,71,-1988.0
9500376,71,-1956.0
9600384,71,-1924.0
9700392,71,-1893.0
9800400,107,-1861.0
9900404,107,-1816.0
10000404,107,-1768.0
10100404,107,-1720.0
10200412,107,-1672.0
10300424,107,-1623.0
10400428,107,-1575.0
10500436,-179,-1527.0
10600444,-179,-1583.0
10700448,-179,-1663.0
10800452,-179,-1743.0
10900456,-179,-1823.0
11000456,-179,-1903.0
11100456,-179,-1983.0
11200456,-242,-2063.0
11300460,-242,-2165.0
11400468,-242,-2273.0
11500468,-242,-2382.0
11600472,-242,-2490.0
11700480,-242,-2598.0
11800480,-242,-2707.0
11900480,-87,-2815.0
12000488,-87,-2868.0
12100488,-87,-2907.0
12200492,-87,-2945.0
12300496,-87,-2984.0
12400500,-87,-3022.0
12500504,-87,-3060.0
12600508,-94,-3099.0
12700512,-94,-3140.0
12800512,-94,-3181.0
12900516,-94,-3223.0
13000524,-94,-3265.0
13100528,-94,-3306.0
13200532,-94,-3348.0
13300532,-127,-3390.0
13400532,-127,-3443.0
13500536,-127,-3500.0
13600540,-127,-3556.0
13700548,-127,-3613.0
13800552,-127,-3669.0
13900556,-127,-3726.0
14000696,-116,-3782.0
14100704,-116,-3835.0
14200708,-116,-3887.0
14300712,-116,-3938.0
14400712,-116,-3990.0
14500716,-116,-4042.0
14600720,-116,-4093.0
14700728,-116,-4145.0
14800732,-131,-4202.0
14900732,-131,-4261.0
15000736,-131,-4319.0
15100736,-131,-4378.0
15200736,-131,-4436.0
15300740,-131,-4495.0
15400740,225,-4553.0
15500744,225,-4483.0
15600752,225,-4381.0
15700752,225,-4279.0
15800756,225,-4177.0
15900760,225,-4075.0
16000764,225,-3972.0
16100920,241,-3870.0
16200920,241,-3762.0
16300928,241,-3653.0
16400932,241,-3543.0
16500932,241,-3433.0
16600936,241,-3324.0
16700940,241,-3214.0
16800940,82,-3105.0
16900948,82,-3053.0
17000948,82,-3016.0
17100952,82,-2979.0
17200952,82,-2942.0
17300952,82,-2906.0
17400956,82,-2869.0
17500960,-114,-2832.0
17600964,-114,-2867.0
17700972,-114,-2918.0
17800976,-114,-2969.0
17900976,-114,-3020.0
18000976,-114,-3070.0
18100984,-114,-3121.0
18201148,-60,-3172.0
18301152,-60,-3203.0
18401152,-60,-3230.0
18501152,-60,-3256.0
18601156,-60,-3282.0
18701156,-60,-3308.0
18801156,-60,-3335.0
18901160,214,-3361.0
19001164,214,-3289.0
19101168,214,-3192.0
19201168,214,-3095.0
19301172,214,-2998.0
19401180,214,-2901.0
19501188,214,-2804.0
19601192,232,-2706.0
19701196,232,-2603.0
19801196,232,-2498.0
19901196,232,-2392.0
20001200,232,-2287.0
